std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
ARA,CBS1239,Peter et al. 2018,ERR1309080,NA,Distillery,NA,Distilery,Food
ARB,CBS1254,Peter et al. 2018,ERR1309422,NA,Bakery,NA,Baking,Food
ARC,CBS1257,Peter et al. 2018,ERR1308716,1. AU Wine 1,Wine,Wine,Brewery,Food
ARE,CBS1398,Peter et al. 2018,ERR1309456,12. Belgium Beer 1,Tree,NA,Tree,Plant
ARG,CBS1576,Peter et al. 2018,ERR1308649,38. Taiwan Wild 2,Tree,NA,Tree,Plant
ARH,CBS1592,Peter et al. 2018,ERR1309054,NA,Fermentation,NA,Fermentation,Food
ARI,CBS1593,Peter et al. 2018,ERR1308645,NA,Fermentation,NA,Fermentation,Food
ARK,CBS1602,Peter et al. 2018,ERR1308610,1. AU Wine 1,Fruit,NA,Fruit,Plant
ARL,CBS2087,Peter et al. 2018,ERR1309170,6. West Europe Wine,Flower,NA,Flower,Plant
ARM,CBS2188,Peter et al. 2018,ERR1308768,29. Sake,Fruit,NA,Fruit,Plant
ARN,CBS2246,Peter et al. 2018,ERR1308612,13. French Dairy,Human_clinical,NA,Human,Clinical
ARP,CBS2270,Peter et al. 2018,ERR1309069,29. Sake,Wine,Wine,Brewery,Food
ARQ,CBS2271,Peter et al. 2018,ERR1309201,1. AU Wine 1,Wine,Wine,Brewery,Food
ARR,CBS2272,Peter et al. 2018,ERR1309066,13. French Dairy,Dairy,NA,Dairy,Food
ARS,CBS2421,Peter et al. 2018,ERR1308992,13. French Dairy,Nature,NA,NA,Environmental
ART,CBS2808,Peter et al. 2018,ERR1309369,5. Georgian Wine,Wine,Wine,Brewery,Food
ARV,CBS2965,Peter et al. 2018,ERR1308660,1. AU Wine 1,Distillery,NA,Distilery,Food
ASA,CBS4092,Peter et al. 2018,ERR1308769,5. Georgian Wine,Wine,Wine,Brewery,Food
ASB,CBS4255,Peter et al. 2018,ERR1309421,12. Belgium Beer 1,Human_clinical,NA,Human,Clinical
ASC,CBS4455,Peter et al. 2018,ERR1309342,15. African Beer,Beer,Beer,Brewery,Food
ASD,CBS4507,Peter et al. 2018,ERR1308866,1. AU Wine 1,Beer,Beer,Brewery,Food
ASE,CBS4667,Peter et al. 2018,ERR1309317,1. AU Wine 1,Wine,Wine,Brewery,Food
ASG,CBS1489,Peter et al. 2018,ERR1308592,1. AU Wine 1,Human_clinical,NA,Human,Clinical
ASH,CLIB227,Peter et al. 2018,ERR1308979,18. Belgium Beer 2,Beer,Beer,Brewery,Food
ASL,CLIB340,Peter et al. 2018,ERR1309203,20. Mixed Origins 1,Bakery,NA,Baking,Food
ASM,CLIB409,Peter et al. 2018,ERR1309452,28. Baiju,Nature,NA,NA,Environmental
ASN,CLIB630,Peter et al. 2018,ERR1309408,13. French Dairy,Dairy,NA,Dairy,Food
ASP,B1,Peter et al. 2018,ERR1309151,20. Mixed Origins 1,NA,NA,NA,NA
ASR,M1,Peter et al. 2018,ERR1309292,4. Commercial Wine,Wine,Wine,Brewery,Food
ASS,M5,Peter et al. 2018,ERR1309325,8. AU Wine 4,Wine,Wine,Brewery,Food
AST,M6,Peter et al. 2018,ERR1309383,10. AU Wine 6,Wine,Wine,Brewery,Food
ASV,M9,Peter et al. 2018,ERR1308883,10. AU Wine 6,Wine,Wine,Brewery,Food
ATA,PR,Peter et al. 2018,ERR1309171,1. AU Wine 1,Wine,Wine,Brewery,Food
ATB,Y1,Peter et al. 2018,ERR1309490,NA,Nature,NA,NA,Environmental
ATC,YJM308,Peter et al. 2018,ERR1308677,NA,Human_clinical,NA,Human,Clinical
ATD,YJM339,Peter et al. 2018,ERR1309283,NA,Human_clinical,NA,Human,Clinical
ATE,YJM627,Peter et al. 2018,ERR1308595,NA,NA,NA,NA,NA
ATH,UC4,Peter et al. 2018,ERR1308935,1. AU Wine 1,Wine,Wine,Brewery,Food
ATM,UC10,Peter et al. 2018,ERR1308689,8. AU Wine 4,Wine,Wine,Brewery,Food
ATN,Y4,Peter et al. 2018,ERR1308590,6. West Europe Wine,Fruit,NA,Fruit,Plant
ATP,Y5,Peter et al. 2018,ERR1309036,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
ATQ,CECT10497,Peter et al. 2018,ERR1309464,3. Alpechin,Industrial,NA,Industrial,Industrial
ATR,CECT10120,Peter et al. 2018,ERR1309498,20. Mixed Origins 1,Fruit,NA,Fruit,Plant
ATS,CECT10131,Peter et al. 2018,ERR1308978,20. Mixed Origins 1,Flower,NA,Flower,Plant
ATV,CECT1462,Peter et al. 2018,ERR1309313,19. UK Beer,Beer,Beer,Brewery,Food
AVB,CECT10266,Peter et al. 2018,ERR1308690,3. Alpechin,Industrial,NA,Industrial,Industrial
AVC,CECT10711,Peter et al. 2018,ERR1309002,29. Sake,Sake,Sake,Distillary,Food
AVD,CECT10712,Peter et al. 2018,ERR1308761,29. Sake,Sake,Sake,Distillary,Food
AVH,CECT1478,Peter et al. 2018,ERR1309257,1. AU Wine 1,Wine,Wine,Brewery,Food
AVI,YPS163,Peter et al. 2018,ERR1309496,39. Asian Oak,Soil,NA,Soil,Environmental
AVK,L-1194,Peter et al. 2018,ERR1308973,6. West Europe Wine,Wine,Wine,Brewery,Food
AVL,RIB6008,Peter et al. 2018,ERR1308878,29. Sake,Sake,Sake,Distillary,Food
AVM,RIB6009,Peter et al. 2018,ERR1309508,29. Sake,Sake,Sake,Distillary,Food
AVN,CH02,Peter et al. 2018,ERR1309191,15. African Beer,Beer,Beer,Brewery,Food
AVP,CH06,Peter et al. 2018,ERR1309235,15. African Beer,Beer,Beer,Brewery,Food
AVQ,CH10,Peter et al. 2018,ERR1309333,15. African Beer,Beer,Beer,Brewery,Food
AVR,CH11,Peter et al. 2018,ERR1309185,15. African Beer,Beer,Beer,Brewery,Food
AVS,CH14,Peter et al. 2018,ERR1308654,15. African Beer,Beer,Beer,Brewery,Food
AVT,CH13,Peter et al. 2018,ERR1308900,15. African Beer,Beer,Beer,Brewery,Food
AVV,DJ65,Peter et al. 2018,ERR1308833,NA,Palm wine,Palm Wine,Brewery,Food
BAA,DJ66,Peter et al. 2018,ERR1309382,NA,Palm wine,Palm Wine,Brewery,Food
BAB,DJ68,Peter et al. 2018,ERR1308961,NA,Palm wine,Palm Wine,Brewery,Food
BAC,DJ70,Peter et al. 2018,ERR1308796,NA,Palm wine,Palm Wine,Brewery,Food
BAD,DJ71,Peter et al. 2018,ERR1309504,NA,Palm wine,Palm Wine,Brewery,Food
BAE,DJ73,Peter et al. 2018,ERR1308719,NA,Palm wine,Palm Wine,Brewery,Food
BAF,DJ74,Peter et al. 2018,ERR1309149,NA,Palm wine,Palm Wine,Brewery,Food
BAG,SX1,Peter et al. 2018,ERR1309520,35. Chinese Wild,Tree,NA,Tree,Plant
BAH,SX3,Peter et al. 2018,ERR1309120,35. Chinese Wild,Tree,NA,Tree,Plant
BAI,BJ6,Peter et al. 2018,ERR1309197,35. Chinese Wild,Fruit,NA,Fruit,Plant
BAK,BJ20,Peter et al. 2018,ERR1308953,35. Chinese Wild,Tree,NA,Tree,Plant
BAL,HN6,Peter et al. 2018,ERR1308996,35. Chinese Wild,Nature,NA,NA,Environmental
BAM,HN10,Peter et al. 2018,ERR1309243,NA,Nature,NA,NA,Environmental
BAN,HN15,Peter et al. 2018,ERR1309349,37. Taiwan Wild 1,Nature,NA,NA,Environmental
BAP,HN16,Peter et al. 2018,ERR1309370,37. Taiwan Wild 1,Soil,NA,Soil,Environmental
BAQ,HN19,Peter et al. 2018,ERR1308854,NA,Tree,NA,Tree,Plant
BAR,PB56,Peter et al. 2018,ERR1308835,7. AU Wine 3,Tree,NA,Tree,Plant
BAS,PB67,Peter et al. 2018,ERR1308632,7. AU Wine 3,Soil,NA,Soil,Environmental
BAT,PB94,Peter et al. 2018,ERR1309295,7. AU Wine 3,Soil,NA,Soil,Environmental
BAV,PB137,Peter et al. 2018,ERR1309479,7. AU Wine 3,Wine,Wine,Brewery,Food
BBA,PB197,Peter et al. 2018,ERR1308718,7. AU Wine 3,Soil,NA,Soil,Environmental
BBB,PB200,Peter et al. 2018,ERR1308613,7. AU Wine 3,Soil,NA,Soil,Environmental
BBC,CCY_21-4-88,Peter et al. 2018,ERR1308693,20. Mixed Origins 1,Fruit,NA,Fruit,Plant
BBD,CCY_21-4-97,Peter et al. 2018,ERR1309196,20. Mixed Origins 1,Water,NA,Water,Environmental
BBE,CCY_21-4-98,Peter et al. 2018,ERR1309236,20. Mixed Origins 1,Water,NA,Water,Environmental
BBF,CCY_21-4-102,Peter et al. 2018,ERR1308652,20. Mixed Origins 1,Water,NA,Water,Environmental
BBG,CCY_21-4-106,Peter et al. 2018,ERR1309440,18. Belgium Beer 2,Water,NA,Water,Environmental
BBH,CCY_21-4-119,Peter et al. 2018,ERR1308705,1. AU Wine 1,Flower,NA,Flower,Plant
BBI,CCY_21-4-120,Peter et al. 2018,ERR1309221,1. AU Wine 1,Flower,NA,Flower,Plant
BBK,CCY_21-4-121,Peter et al. 2018,ERR1308931,1. AU Wine 1,Flower,NA,Flower,Plant
BBL,IMB-53,Peter et al. 2018,ERR1308793,NA,Insect,NA,Animal,Clinical
BBM,908,Peter et al. 2018,ERR1309366,23. Mexican Agave,Distillery,NA,Distilery,Food
BBP,1663,Peter et al. 2018,ERR1308640,20. Mixed Origins 1,Flower,NA,Flower,Plant
BBQ,2162,Peter et al. 2018,ERR1309256,14. Mediterranean Oak,Soil,NA,Soil,Environmental
BBR,2163,Peter et al. 2018,ERR1308666,36. North American Wild,Tree,NA,Tree,Plant
BBS,2187,Peter et al. 2018,ERR1309052,14. Mediterranean Oak,Soil,NA,Soil,Environmental
BBT,2281,Peter et al. 2018,ERR1308730,NA,Wine,Wine,Brewery,Food
BBV,2282,Peter et al. 2018,ERR1308674,7. AU Wine 3,Wine,Wine,Brewery,Food
BCA,2644,Peter et al. 2018,ERR1309307,6. West Europe Wine,Human_clinical,NA,Human,Clinical
BCB,HE001,Peter et al. 2018,ERR1309269,22. French Guiana Human,Human,NA,Human,Clinical
BCC,HE004,Peter et al. 2018,ERR1309046,22. French Guiana Human,Human,NA,Human,Clinical
BCD,HE005,Peter et al. 2018,ERR1308841,22. French Guiana Human,Human,NA,Human,Clinical
BCE,HE006,Peter et al. 2018,ERR1309177,22. French Guiana Human,Human,NA,Human,Clinical
BCF,HE007,Peter et al. 2018,ERR1309105,22. French Guiana Human,Human,NA,Human,Clinical
BCG,HE008,Peter et al. 2018,ERR1309193,22. French Guiana Human,Human,NA,Human,Clinical
BCH,HE009,Peter et al. 2018,ERR1308888,22. French Guiana Human,Human,NA,Human,Clinical
BCI,HE010,Peter et al. 2018,ERR1308889,22. French Guiana Human,Human,NA,Human,Clinical
BCK,HE011,Peter et al. 2018,ERR1309337,22. French Guiana Human,Human,NA,Human,Clinical
BCL,HE012,Peter et al. 2018,ERR1308742,22. French Guiana Human,Human,NA,Human,Clinical
BCM,HE013,Peter et al. 2018,ERR1309306,22. French Guiana Human,Human,NA,Human,Clinical
BCN,HE015,Peter et al. 2018,ERR1308824,22. French Guiana Human,Human,NA,Human,Clinical
BCP,HE016,Peter et al. 2018,ERR1308848,22. French Guiana Human,Human,NA,Human,Clinical
BCQ,HE020,Peter et al. 2018,ERR1309332,22. French Guiana Human,Human,NA,Human,Clinical
BCR,#23,Peter et al. 2018,ERR1309079,20. Mixed Origins 1,Nature,NA,NA,Environmental
BCS,#03,Peter et al. 2018,ERR1308581,20. Mixed Origins 1,Nature,NA,NA,Environmental
BCT,#05,Peter et al. 2018,ERR1309279,20. Mixed Origins 1,Nature,NA,NA,Environmental
BCV,#33,Peter et al. 2018,ERR1309097,17. Israel Wild,Nature,NA,NA,Environmental
BDA,#34,Peter et al. 2018,ERR1309516,17. Israel Wild,Nature,NA,NA,Environmental
BDB,#35,Peter et al. 2018,ERR1309348,17. Israel Wild,Nature,NA,NA,Environmental
BDC,#36,Peter et al. 2018,ERR1309251,NA,Nature,NA,NA,Environmental
BDD,#13,Peter et al. 2018,ERR1308865,17. Israel Wild,Nature,NA,NA,Environmental
BDE,#14,Peter et al. 2018,ERR1308882,17. Israel Wild,Nature,NA,NA,Environmental
BDF,#57,Peter et al. 2018,ERR1308842,NA,Nature,NA,NA,Environmental
BDG,#58,Peter et al. 2018,ERR1309086,NA,Nature,NA,NA,Environmental
BDH,#59,Peter et al. 2018,ERR1309015,17. Israel Wild,Nature,NA,NA,Environmental
BDI,#60,Peter et al. 2018,ERR1309129,17. Israel Wild,Nature,NA,NA,Environmental
BDK,#63,Peter et al. 2018,ERR1309132,NA,Nature,NA,NA,Environmental
BDL,CLQCA_10-386,Peter et al. 2018,ERR1309445,21. Mixed Origins 2,Beer,Beer,Brewery,Food
BDM,MAJ_A,Peter et al. 2018,ERR1309229,NA,Nature,NA,NA,Environmental
BDN,MAJ_G,Peter et al. 2018,ERR1308696,15. African Beer,Nature,NA,NA,Environmental
BDP,CEY615,Peter et al. 2018,ERR1308913,22. French Guiana Human,Human,NA,Human,Clinical
BDQ,CEY616,Peter et al. 2018,ERR1308904,22. French Guiana Human,Human,NA,Human,Clinical
BDR,CEY617,Peter et al. 2018,ERR1308787,22. French Guiana Human,Human,NA,Human,Clinical
BDS,CEY618,Peter et al. 2018,ERR1309396,22. French Guiana Human,Human,NA,Human,Clinical
BDT,CEY619,Peter et al. 2018,ERR1309413,22. French Guiana Human,Human,NA,Human,Clinical
BDV,CEY620,Peter et al. 2018,ERR1308748,22. French Guiana Human,Human,NA,Human,Clinical
BEA,CEY621,Peter et al. 2018,ERR1308785,22. French Guiana Human,Human,NA,Human,Clinical
BEB,CEY622,Peter et al. 2018,ERR1308591,22. French Guiana Human,Human,NA,Human,Clinical
BEC,CEY623,Peter et al. 2018,ERR1309467,22. French Guiana Human,Human,NA,Human,Clinical
BED,CEY624,Peter et al. 2018,ERR1309232,22. French Guiana Human,Human,NA,Human,Clinical
BEE,CEY625,Peter et al. 2018,ERR1308727,22. French Guiana Human,Human,NA,Human,Clinical
BEF,CLIB413,Peter et al. 2018,ERR1308868,31. Huangjiu,Fermentation,NA,Fermentation,Food
BEG,CLIB414,Peter et al. 2018,ERR1308857,NA,Industrial,NA,Industrial,Industrial
BEH,CLIB415,Peter et al. 2018,ERR1308911,30. Mantou,Fermentation,NA,Fermentation,Food
BEI,CLIB650,Peter et al. 2018,ERR1308758,15. African Beer,Beer,Beer,Brewery,Food
BEK,CLIB651,Peter et al. 2018,ERR1308948,15. African Beer,Beer,Beer,Brewery,Food
BEM,CLIB653,Peter et al. 2018,ERR1309384,15. African Beer,Beer,Beer,Brewery,Food
BEN,CLIB654,Peter et al. 2018,ERR1309147,15. African Beer,Beer,Beer,Brewery,Food
BEP,EXF-3387,Peter et al. 2018,ERR1308821,1. AU Wine 1,NA,NA,NA,NA
BEQ,EXF-4126,Peter et al. 2018,ERR1308930,2. AU Wine 2,Wine,Wine,Brewery,Food
BER,EXF-5042,Peter et al. 2018,ERR1308894,1. AU Wine 1,Wine,Wine,Brewery,Food
BES,EXF-5046,Peter et al. 2018,ERR1309142,1. AU Wine 1,Wine,Wine,Brewery,Food
BET,EXF-5247,Peter et al. 2018,ERR1309096,8. AU Wine 4,Water,NA,Water,Environmental
BEV,EXF-5248,Peter et al. 2018,ERR1308991,8. AU Wine 4,Water,NA,Water,Environmental
BFA,EXF-5284,Peter et al. 2018,ERR1309293,36. North American Wild,Soil,NA,Soil,Environmental
BFB,EXF-5287,Peter et al. 2018,ERR1308764,1. AU Wine 1,Nature,NA,NA,Environmental
BFC,EXF-5295,Peter et al. 2018,ERR1309371,1. AU Wine 1,Fermentation,NA,Fermentation,Food
BFD,EXF-5297,Peter et al. 2018,ERR1309389,1. AU Wine 1,Fruit,NA,Fruit,Plant
BFE,EXF-5734,Peter et al. 2018,ERR1309274,21. Mixed Origins 2,Industrial,NA,Industrial,Industrial
BFG,EXF-5869,Peter et al. 2018,ERR1309059,21. Mixed Origins 2,Nature,NA,NA,Environmental
BFH,EXF-5871,Peter et al. 2018,ERR1309204,13. French Dairy,Dairy,NA,Dairy,Food
BFK,EXF-6761,Peter et al. 2018,ERR1308921,1. AU Wine 1,Tree,NA,Tree,Plant
BFL,EXF-6780,Peter et al. 2018,ERR1308808,36. North American Wild,Tree,NA,Tree,Plant
BFM,EXF-6835,Peter et al. 2018,ERR1308976,21. Mixed Origins 2,Industrial,NA,Industrial,Industrial
BFN,EXF-7145,Peter et al. 2018,ERR1309053,13. French Dairy,Tree,NA,Tree,Plant
BFP,EXF-7197,Peter et al. 2018,ERR1309488,14. Mediterranean Oak,Tree,NA,Tree,Plant
BFQ,CLIB484,Peter et al. 2018,ERR1308789,1. AU Wine 1,Cider,Cider,Brewery,Food
BFR,CLIB485,Peter et al. 2018,ERR1309027,1. AU Wine 1,Cider,Cider,Brewery,Food
BFS,CLIB546,Peter et al. 2018,ERR1308798,13. French Dairy,Dairy,NA,Dairy,Food
BFT,CLIB547,Peter et al. 2018,ERR1309477,13. French Dairy,Dairy,NA,Dairy,Food
BFV,CLIB548,Peter et al. 2018,ERR1309014,13. French Dairy,Dairy,NA,Dairy,Food
BGA,CLIB549,Peter et al. 2018,ERR1308797,13. French Dairy,Dairy,NA,Dairy,Food
BGB,CLIB550,Peter et al. 2018,ERR1309048,13. French Dairy,Dairy,NA,Dairy,Food
BGC,CLIB551,Peter et al. 2018,ERR1308856,13. French Dairy,Dairy,NA,Dairy,Food
BGD,CLIB552,Peter et al. 2018,ERR1309432,13. French Dairy,Dairy,NA,Dairy,Food
BGE,CLIB553,Peter et al. 2018,ERR1308752,13. French Dairy,Dairy,NA,Dairy,Food
BGF,CLIB554,Peter et al. 2018,ERR1309446,13. French Dairy,Dairy,NA,Dairy,Food
BGG,CLIB555,Peter et al. 2018,ERR1309365,13. French Dairy,Dairy,NA,Dairy,Food
BGH,CLIB556,Peter et al. 2018,ERR1308779,13. French Dairy,Dairy,NA,Dairy,Food
BGI,CLIB557,Peter et al. 2018,ERR1308910,13. French Dairy,Dairy,NA,Dairy,Food
BGK,CLIB558,Peter et al. 2018,ERR1309230,13. French Dairy,Dairy,NA,Dairy,Food
BGL,CLIB559,Peter et al. 2018,ERR1309362,13. French Dairy,Dairy,NA,Dairy,Food
BGM,CLIB560,Peter et al. 2018,ERR1309503,13. French Dairy,Dairy,NA,Dairy,Food
BGN,CLIB561,Peter et al. 2018,ERR1308908,13. French Dairy,Dairy,NA,Dairy,Food
BGP,CLIB562,Peter et al. 2018,ERR1309402,13. French Dairy,Dairy,NA,Dairy,Food
BGQ,CLIB563,Peter et al. 2018,ERR1308997,13. French Dairy,Dairy,NA,Dairy,Food
BGR,CLIB564,Peter et al. 2018,ERR1308733,13. French Dairy,Dairy,NA,Dairy,Food
BGS,CLIB631,Peter et al. 2018,ERR1309138,13. French Dairy,Dairy,NA,Dairy,Food
BGT,CLIB648,Peter et al. 2018,ERR1309188,13. French Dairy,Dairy,NA,Dairy,Food
BGV,CLIB649,Peter et al. 2018,ERR1309426,13. French Dairy,Dairy,NA,Dairy,Food
BHA,CLIB655,Peter et al. 2018,ERR1308836,15. African Beer,Beer,Beer,Brewery,Food
BHB,CLIB889,Peter et al. 2018,ERR1308877,4. Commercial Wine,Bakery,NA,Baking,Food
BHC,CLIB1040,Peter et al. 2018,ERR1309330,1. AU Wine 1,Cider,Cider,Brewery,Food
BHD,CLIB1059,Peter et al. 2018,ERR1309491,NA,Cider,Cider,Brewery,Food
BHE,CLIB1060,Peter et al. 2018,ERR1309344,1. AU Wine 1,Cider,Cider,Brewery,Food
BHF,CLIB1062,Peter et al. 2018,ERR1309275,1. AU Wine 1,Cider,Cider,Brewery,Food
BHG,CLIB1070,Peter et al. 2018,ERR1308969,NA,Cider,Cider,Brewery,Food
BHH,CLIB1071,Peter et al. 2018,ERR1308984,NA,Cider,Cider,Brewery,Food
BHI,CLIB1072,Peter et al. 2018,ERR1309276,NA,Cider,Cider,Brewery,Food
BHK,CLIB1077,Peter et al. 2018,ERR1308946,10. AU Wine 6,Cider,Cider,Brewery,Food
BHL,CLIB1082,Peter et al. 2018,ERR1308743,NA,Cider,Cider,Brewery,Food
BHM,CLIB1085,Peter et al. 2018,ERR1309207,1. AU Wine 1,Cider,Cider,Brewery,Food
BHN,CLIB1410,Peter et al. 2018,ERR1309485,7. AU Wine 3,Fermentation,NA,Fermentation,Food
BHP,CLIB1411,Peter et al. 2018,ERR1308760,31. Huangjiu,Fermentation,NA,Fermentation,Food
BHQ,CLIB1412,Peter et al. 2018,ERR1308906,31. Huangjiu,Fermentation,NA,Fermentation,Food
BHR,CLIB1413,Peter et al. 2018,ERR1308872,31. Huangjiu,Fermentation,NA,Fermentation,Food
BHS,CLIB1414,Peter et al. 2018,ERR1309199,31. Huangjiu,Fermentation,NA,Fermentation,Food
BHT,CLIB1083,Peter et al. 2018,ERR1309417,NA,Cider,Cider,Brewery,Food
BHV,DBVPG1014,Peter et al. 2018,ERR1309209,1. AU Wine 1,Wine,Wine,Brewery,Food
BIA,DBVPG1029,Peter et al. 2018,ERR1309077,1. AU Wine 1,Wine,Wine,Brewery,Food
BIB,DBVPG1041,Peter et al. 2018,ERR1308672,1. AU Wine 1,Wine,Wine,Brewery,Food
BIC,DBVPG1056,Peter et al. 2018,ERR1309518,7. AU Wine 3,Wine,Wine,Brewery,Food
BID,DBVPG1058,Peter et al. 2018,ERR1308662,1. AU Wine 1,Bakery,NA,Baking,Food
BIE,DBVPG1074,Peter et al. 2018,ERR1309250,NA,Wine,Wine,Brewery,Food
BIF,DBVPG1076,Peter et al. 2018,ERR1309328,6. West Europe Wine,Wine,Wine,Brewery,Food
BIG,DBVPG1080,Peter et al. 2018,ERR1308962,6. West Europe Wine,Wine,Wine,Brewery,Food
BIH,DBVPG1105,Peter et al. 2018,ERR1309428,6. West Europe Wine,Wine,Wine,Brewery,Food
BII,DBVPG1106,Peter et al. 2018,ERR1308846,1. AU Wine 1,Wine,Wine,Brewery,Food
BIK,DBVPG1107,Peter et al. 2018,ERR1309245,6. West Europe Wine,Wine,Wine,Brewery,Food
BIL,DBVPG1108,Peter et al. 2018,ERR1309475,6. West Europe Wine,Wine,Wine,Brewery,Food
BIM,DBVPG1122,Peter et al. 2018,ERR1309106,6. West Europe Wine,Wine,Wine,Brewery,Food
BIN,DBVPG1123,Peter et al. 2018,ERR1309126,6. West Europe Wine,Wine,Wine,Brewery,Food
BIP,DBVPG1125,Peter et al. 2018,ERR1309360,6. West Europe Wine,Wine,Wine,Brewery,Food
BIQ,DBVPG1126,Peter et al. 2018,ERR1309399,6. West Europe Wine,Wine,Wine,Brewery,Food
BIR,DBVPG1127,Peter et al. 2018,ERR1309247,NA,Wine,Wine,Brewery,Food
BIS,DBVPG1129,Peter et al. 2018,ERR1308653,1. AU Wine 1,Wine,Wine,Brewery,Food
BIT,DBVPG1145,Peter et al. 2018,ERR1309505,7. AU Wine 3,Wine,Wine,Brewery,Food
BKA,DBVPG1163,Peter et al. 2018,ERR1309058,6. West Europe Wine,Fruit,NA,Fruit,Plant
BKC,DBVPG1339,Peter et al. 2018,ERR1308951,6. West Europe Wine,Wine,Wine,Brewery,Food
BKD,DBVPG1374,Peter et al. 2018,ERR1309176,6. West Europe Wine,Soil,NA,Soil,Environmental
BKE,DBVPG1380,Peter et al. 2018,ERR1308684,7. AU Wine 3,Wine,Wine,Brewery,Food
BKF,DBVPG1473,Peter et al. 2018,ERR1308838,6. West Europe Wine,Wine,Wine,Brewery,Food
BKG,DBVPG1490,Peter et al. 2018,ERR1309315,6. West Europe Wine,Wine,Wine,Brewery,Food
BKH,DBVPG1523,Peter et al. 2018,ERR1309116,6. West Europe Wine,Wine,Wine,Brewery,Food
BKI,DBVPG1554,Peter et al. 2018,ERR1309186,1. AU Wine 1,Wine,Wine,Brewery,Food
BKK,DBVPG1555,Peter et al. 2018,ERR1308954,1. AU Wine 1,NA,NA,NA,NA
BKL,DBVPG1564,Peter et al. 2018,ERR1309072,1. AU Wine 1,Wine,Wine,Brewery,Food
BKM,DBVPG1577,Peter et al. 2018,ERR1308584,6. West Europe Wine,Wine,Wine,Brewery,Food
BKN,DBVPG1580,Peter et al. 2018,ERR1309480,6. West Europe Wine,Wine,Wine,Brewery,Food
BKP,DBVPG1581,Peter et al. 2018,ERR1309023,6. West Europe Wine,Wine,Wine,Brewery,Food
BKQ,DBVPG1584,Peter et al. 2018,ERR1308861,1. AU Wine 1,NA,NA,NA,NA
BKR,DBVPG1594,Peter et al. 2018,ERR1309246,6. West Europe Wine,Wine,Wine,Brewery,Food
BKS,DBVPG1595,Peter et al. 2018,ERR1308661,6. West Europe Wine,Wine,Wine,Brewery,Food
BKT,DBVPG1596,Peter et al. 2018,ERR1309394,1. AU Wine 1,Wine,Wine,Brewery,Food
BLA,DBVPG1599,Peter et al. 2018,ERR1308826,1. AU Wine 1,Wine,Wine,Brewery,Food
BLB,DBVPG1601,Peter et al. 2018,ERR1308844,6. West Europe Wine,Wine,Wine,Brewery,Food
BLC,DBVPG1606,Peter et al. 2018,ERR1308757,6. West Europe Wine,Wine,Wine,Brewery,Food
BLD,DBVPG1608,Peter et al. 2018,ERR1309474,6. West Europe Wine,Wine,Wine,Brewery,Food
BLE,DBVPG1611,Peter et al. 2018,ERR1308668,7. AU Wine 3,Wine,Wine,Brewery,Food
BLF,DBVPG1615,Peter et al. 2018,ERR1309042,6. West Europe Wine,Wine,Wine,Brewery,Food
BLG,DBVPG1625,Peter et al. 2018,ERR1309215,1. AU Wine 1,Wine,Wine,Brewery,Food
BLH,DBVPG1626,Peter et al. 2018,ERR1309397,7. AU Wine 3,Wine,Wine,Brewery,Food
BLI,DBVPG1629,Peter et al. 2018,ERR1309182,1. AU Wine 1,Wine,Wine,Brewery,Food
BLK,DBVPG1631,Peter et al. 2018,ERR1308599,7. AU Wine 3,Wine,Wine,Brewery,Food
BLL,DBVPG1632,Peter et al. 2018,ERR1309302,6. West Europe Wine,Wine,Wine,Brewery,Food
BLM,DBVPG1656,Peter et al. 2018,ERR1308884,7. AU Wine 3,Wine,Wine,Brewery,Food
BLN,DBVPG1659,Peter et al. 2018,ERR1309476,6. West Europe Wine,Wine,Wine,Brewery,Food
BLP,DBVPG1661,Peter et al. 2018,ERR1309109,6. West Europe Wine,Wine,Wine,Brewery,Food
BLQ,DBVPG1669,Peter et al. 2018,ERR1308898,1. AU Wine 1,Wine,Wine,Brewery,Food
BLR,DBVPG1973,Peter et al. 2018,ERR1309223,1. AU Wine 1,Wine,Wine,Brewery,Food
BLS,DBVPG1975,Peter et al. 2018,ERR1308989,6. West Europe Wine,Wine,Wine,Brewery,Food
BLT,DBVPG1984,Peter et al. 2018,ERR1309425,1. AU Wine 1,Wine,Wine,Brewery,Food
BLV,DBVPG3022,Peter et al. 2018,ERR1308687,6. West Europe Wine,Wine,Wine,Brewery,Food
BMA,UWOPS03-429.1,Peter et al. 2018,ERR1309324,NA,Tree,NA,Tree,Plant
BMB,UWOPS03-433.3,Peter et al. 2018,ERR1308675,NA,Tree,NA,Tree,Plant
BMC,UWOPS03-459.1,Peter et al. 2018,ERR1309525,NA,Tree,NA,Tree,Plant
BMD,384103A,Peter et al. 2018,ERR1309403,25. US Clinical 1,Human,NA,Human,Clinical
BME,368428S,Peter et al. 2018,ERR1309062,NA,Human,NA,Human,Clinical
BMF,269521J,Peter et al. 2018,ERR1308611,NA,Human,NA,Human,Clinical
BMG,NCYC_2925,Peter et al. 2018,ERR1309341,20. Mixed Origins 1,Human_clinical,NA,Human,Clinical
BMH,YJM984,Peter et al. 2018,ERR1309252,7. AU Wine 3,Human_clinical,NA,Human,Clinical
