std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
XTRA_DGH,MCN1500_3C,Marsit et al. 2015,ERR3139855,8. AU Wine 4,Grape (Vitis vinifera) isolate,Grape,Fruit,Plant
XTRA_DGI,MCN1500_3B,Marsit et al. 2015,ERR3139853,1. AU Wine 1,Grape (Vitis vinifera) isolate,Grape,Fruit,Plant
XTRA_DGJ,M2ONO800_1A,Marsit et al. 2015,ERR3139851,7. AU Wine 3,Grape (Vitis vinifera) isolate,Grape,Fruit,Plant
XTRA_DGK,Lava32_6,Marsit et al. 2015,ERR3139852,1. AU Wine 1,Grape (Vitis vinifera) isolate of an abandoned vineyard,Grape,Fruit,Plant
XTRA_DGL,Lava32_15,Marsit et al. 2015,ERR3139854,7. AU Wine 3,Grape (Vitis vinifera) isolate of an abandoned vineyard,Grape,Fruit,Plant
XTRA_DGM,CLIB219,Marsit et al. 2015,ERR3139843,35. Chinese Wild,Grape (Vitis amurensis) isolate,Grape,Fruit,Plant
XTRA_DGN,Lava38_1,Marsit et al. 2015,ERR3139841,NA,Grape (Vitis vinifera) isolate of an abandoned vineyard,Grape,Fruit,Plant
XTRA_DGO,MCN1500_10C,Marsit et al. 2015,ERR3139847,8. AU Wine 4,Grape (Vitis vinifera) isolate,Grape,Fruit,Plant
XTRA_DGP,NRRLY1545,Marsit et al. 2015,ERR3139849,13. French Dairy,Cheese (Stracchino),Cheese,Fermentation,Food
XTRA_DGQ,NRRY1791,Marsit et al. 2015,ERR3139844,28. Baiju,Trappist cheese,Cheese,Fermentation,Food
XTRA_DGR,MUCL42908,Marsit et al. 2015,ERR3139850,13. French Dairy,Kefir,Kefir,Fermentation,Food
XTRA_DGS,TL229_alpha,Marsit et al. 2015,ERR3139845,13. French Dairy,"Cheese (Camembert), derivative spore from CLIB630",Cheese,Fermentation,Food
XTRA_DGT,VKMY373,Marsit et al. 2015,ERR3139846,13. French Dairy,Cheese,Cheese,Fermentation,Food
